time,node,sf
0,pop0,a
0,pop0,b
0,pop0,c
100.0,pop0,a
100.0,pop1,c
100.0,pop2,b
200.0,pop0,a
200.0,pop1,c
200.0,pop2,b
300.0,pop0,a
300.0,pop1,c
300.0,pop2,b
400.0,pop0,a
400.0,pop1,c
400.0,pop2,b
500.0,pop0,a
500.0,pop1,c
500.0,pop2,b
600.0,pop0,a
600.0,pop1,c
600.0,pop2,b
700.0,pop0,a
700.0,pop1,c
700.0,pop2,b
800.0,pop0,a
800.0,pop1,c
800.0,pop2,b
900.0,pop0,a
900.0,pop1,c
900.0,pop2,b
1000.0,pop0,a
1000.0,pop1,c
1000.0,pop2,b
1100.0,pop0,a
1100.0,pop1,c
1100.0,pop2,b
1200.0,pop0,a
1200.0,pop1,c
1200.0,pop2,b
1300.0,pop0,a
1300.0,pop1,c
1300.0,pop2,b
1400.0,pop0,a
1400.0,pop1,c
1400.0,pop2,b
1500.0,pop0,a
1500.0,pop1,c
1500.0,pop2,b
1600.0,pop0,a
1600.0,pop1,c
1600.0,pop2,b
1700.0,pop0,a
1700.0,pop1,c
1700.0,pop2,b
1800.0,pop0,a
1800.0,pop1,c
1800.0,pop2,b
1900.0,pop0,a
1900.0,pop1,c
1900.0,pop2,b
